Prod,Temp,RH
0.2,33,53
0.2625,33,53
0.2625,34,51
0.225,34,53
0.2625,33,53
0.25,32,60
0.2125,31,65
0.2,30,68
0.2125,30,70
0.2,29,73
0.15,29,71
0.125,29,72
0.125,28,72
0.125,28,72
0.125,28,71
0.175,28,70
0.2125,28,70
0.25,28,69
0.225,28,68
0.3125,29,65
0.2625,30,64
0.225,31,60
0.1625,32,57
0.1875,33,53
0.1875,34,51
0.25,32,59
0.15,31,61
0.175,32,58
0.175,32,55
0.1875,31,59
0.1625,30,65
0.1375,29,71
0.1375,26,80
0.175,27,79
0.175,27,78
0.175,28,73
0.175,28,71
0.175,28,71
0.1875,28,70
0.1625,28,70
0.175,27,71
0.175,27,73
0.175,27,77
0.25,28,78
0.2625,29,73
0.2375,30,67
0.175,31,59
0.1875,32,56
0.15,31,59
0.125,31,59
0.1375,31,61
0.15,32,58
0.1625,31,60
0.1625,30,66
0.15,29,68
0.1375,28,73
0.1375,24,91
0.1125,25,90
0.1375,25,88
0.1375,25,85
0.1375,25,84
0.175,25,86
0.175,25,87
0.15,26,84
0.175,26,84
0.225,26,82
0.375,27,79
0.4125,28,75
0.425,29,68
0.2875,31,63
0.225,31,57
0.225,32,54
0.2125,32,54
0.175,33,53
0.2125,33,51
0.175,32,52
0.15,32,56
0.15,31,58
0.2125,30,63
0.2,29,63
0.175,29,63
0.1875,29,59
0.1875,28,59
0.15,28,60
0.15,28,61
0.15,27,64
0.125,27,66
0.1125,27,68
0.1125,27,70
0.1625,27,71
0.225,27,70
0.225,28,68
0.2125,29,66
0.25,30,62
0.35,31,59
0.3625,30,61
0.2375,27,80
0.1875,30,68
0.2375,32,59
0.2375,32,55
0.2375,32,55
0.1875,31,58
0.25,30,59
0.175,30,60
0.1875,30,61
0.2625,29,63
0.2625,29,63
0.2375,28,65
0.2,28,68
0.1875,27,70
0.1875,27,71
0.1875,27,71
0.175,26,72
0.225,26,72
0.275,27,71
0.3125,28,68
0.3125,29,63
0.2375,31,56
0.275,32,53
0.2375,33,51
0.2625,33,49
0.275,33,49
0.2375,34,48
0.2625,34,49
0.3,34,49
0.25,30,62
0.2375,28,72
0.2375,28,71
0.2125,28,72
0.3375,27,78
0.275,26,84
0.175,25,85
0.1875,26,84
0.1875,26,84
0.15,25,90
0.15,24,94
0.1625,24,92
0.2125,24,91
0.3125,24,90
0.275,25,88
0.2875,26,83
0.35,28,76
0.3875,29,70
0.3625,31,64
0.3,31,60
0.25,32,58
0.4,32,58
0.2875,31,62
0.4625,31,63
0.5,30,66
0.5875,30,68
0.5375,29,70
0.5,26,85
0.4,24,91
0.3625,24,92
0.325,25,91
0.3375,25,91
0.325,25,92
0.325,25,90
0.2375,25,90
0.2,25,90
0.25,25,90
0.375,25,90
0.4125,27,86
0.5125,28,81
0.3875,28,77
0.35,29,73
0.3125,30,69
0.325,30,68
0.2875,31,65
0.35,30,68
0.4,29,73
0.3875,29,73
0.4375,29,73
0.425,29,76
0.4125,28,78
0.3875,27,84
0.475,28,83
0.4625,27,84
0.3,25,92
0.2125,25,93
0.2375,25,93
0.225,24,93
0.1875,24,92
0.15,24,92
0.1125,25,92
0.1625,25,91
0.3125,26,89
0.375,26,86
0.3625,27,83
0.2875,29,78
0.2875,30,71
0.275,26,88
0.375,26,91
0.275,27,85
0.3125,30,73
0.2625,30,69
0.275,30,70
0.275,29,74
0.45,28,78
0.5,28,80
0.5625,28,81
0.4625,28,81
0.325,26,89
0.1625,24,94
0.175,25,94
0.2125,25,94
0.225,25,94
0.25,25,93
0.2125,25,93
0.3,25,93
0.275,25,91
0.1875,26,87
0.175,28,81
0.2,29,76
0.25,28,82
0.2,26,89
0.175,27,88
0.1875,27,85
0.2125,28,83
0.2625,28,82
0.2375,28,81
0.225,27,82
0.2625,27,83
0.3125,27,83
0.3375,27,84
0.3125,27,84
0.325,27,86
0.3,26,88
0.2875,26,91
0.2125,26,93
0.225,26,90
0.2,24,90
0.175,24,90
0.2125,25,91
0.325,24,93
0.2375,25,92
0.2125,25,91
0.275,25,93
0.225,25,91
0.2,25,90
